Gene ID	Gene name	Cohort	Count
ENSG00000198793	MTOR	TCGA-BRCA	49
ENSG00000179295	PTPN11	TCGA-LGG	49
ENSG00000157404	KIT	TCGA-TGCT	49
ENSG00000157404	KIT	TCGA-LGG	49
ENSG00000141510	TP53	TCGA-HNSC	49
ENSG00000135333	EPHA7	TCGA-LUAD	49
ENSG00000133703	KRAS	TCGA-OV	49
ENSG00000119772	DNMT3A	TCGA-KIRP	49
ENSG00000113721	PDGFRB	TCGA-BRCA	49
ENSG00000105568	PPP2R1A	TCGA-OV	49
ENSG00000079432	CIC	TCGA-LUAD	49
ENSG00000077782	FGFR1	TCGA-PCPG	49
ENSG00000196712	NF1	TCGA-BRCA	48
ENSG00000157764	BRAF	TCGA-COAD	48
ENSG00000101972	STAG2	TCGA-THCA	48
ENSG00000101096	NFATC2	TCGA-SARC	48
ENSG00000213281	NRAS	TCGA-TGCT	47
ENSG00000182054	IDH2	TCGA-LGG	47
ENSG00000164190	NIPBL	TCGA-LGG	47
ENSG00000160007	ARHGAP35	TCGA-UCEC	47
ENSG00000147889	CDKN2A	TCGA-LGG	47
ENSG00000147889	CDKN2A	TCGA-BRCA	47
ENSG00000121989	ACVR2A	TCGA-COAD	47
ENSG00000111266	DUSP16	TCGA-COAD	47
ENSG00000109670	FBXW7	TCGA-BLCA	47
ENSG00000105976	MET	TCGA-LGG	47
ENSG00000100503	NIN	TCGA-COAD	47
ENSG00000187514	PTMA	TCGA-TGCT	46
ENSG00000171862	PTEN	TCGA-COAD	46
ENSG00000121879	PIK3CA	TCGA-COAD	46
ENSG00000118058	KMT2A	TCGA-OV	46
ENSG00000064012	CASP8	TCGA-CESC	46
ENSG00000198793	MTOR	TCGA-LGG	45
ENSG00000168702	LRP1B	TCGA-LUAD	45
ENSG00000160201	U2AF1	TCGA-UCEC	45
ENSG00000154803	FLCN	TCGA-COAD	45
ENSG00000152217	SETBP1	TCGA-THCA	45
ENSG00000127616	SMARCA4	TCGA-LGG	45
ENSG00000100393	EP300	TCGA-COAD	45
ENSG00000085224	ATRX	TCGA-LGG	45
ENSG00000152217	SETBP1	TCGA-PCPG	44
ENSG00000121879	PIK3CA	TCGA-UCEC	44
ENSG00000115760	BIRC6	TCGA-PCPG	44
ENSG00000055609	KMT2C	TCGA-UCEC	44
ENSG00000198793	MTOR	TCGA-COAD	43
ENSG00000166949	SMAD3	TCGA-COAD	43
ENSG00000128191	DGCR8	TCGA-THCA	43
ENSG00000102974	CTCF	TCGA-UCEC	43
ENSG00000196712	NF1	TCGA-OV	42
ENSG00000186174	BCL9L	TCGA-COAD	42
ENSG00000181555	SETD2	TCGA-LGG	42
ENSG00000171862	PTEN	TCGA-UCEC	42
ENSG00000167548	KMT2D	TCGA-UCEC	42
ENSG00000165731	RET	TCGA-PCPG	42
ENSG00000124181	PLCG1	TCGA-LGG	42
ENSG00000124145	SDC4	TCGA-STAD	42
ENSG00000121879	PIK3CA	TCGA-OV	42
ENSG00000110092	CCND1	TCGA-UCEC	42
ENSG00000055609	KMT2C	TCGA-PCPG	42
ENSG00000196159	FAT4	TCGA-COAD	41
ENSG00000184634	MED12	TCGA-CESC	41
ENSG00000181555	SETD2	TCGA-KIRP	41
ENSG00000163930	BAP1	TCGA-UVM	41
ENSG00000157554	ERG	TCGA-OV	41
ENSG00000141646	SMAD4	TCGA-CESC	41
ENSG00000141510	TP53	TCGA-THCA	41
ENSG00000135111	TBX3	TCGA-COAD	41
ENSG00000133703	KRAS	TCGA-UCEC	41
ENSG00000133703	KRAS	TCGA-THCA	41
ENSG00000131051	RBM39	TCGA-UCEC	41
ENSG00000121879	PIK3CA	TCGA-LGG	41
ENSG00000100393	EP300	TCGA-BLCA	41
ENSG00000087460	GNAS	TCGA-COAD	41
ENSG00000196159	FAT4	TCGA-TGCT	40
ENSG00000182872	RBM10	TCGA-COAD	40
ENSG00000156052	GNAQ	TCGA-UVM	40
ENSG00000149311	ATM	TCGA-STAD	40
ENSG00000149311	ATM	TCGA-COAD	40
ENSG00000141510	TP53	TCGA-OV	40
ENSG00000139718	SETD1B	TCGA-OV	40
ENSG00000132002	DNAJB1	TCGA-BLCA	40
ENSG00000131023	LATS1	TCGA-COAD	40
ENSG00000116128	BCL9	TCGA-STAD	40
ENSG00000115524	SF3B1	TCGA-UVM	40
ENSG00000105568	PPP2R1A	TCGA-COAD	40
ENSG00000088256	GNA11	TCGA-UVM	40
ENSG00000083857	FAT1	TCGA-CESC	40
ENSG00000079432	CIC	TCGA-LGG	40
ENSG00000064012	CASP8	TCGA-STAD	40
ENSG00000181555	SETD2	TCGA-SARC	39
ENSG00000160294	MCM3AP	TCGA-HNSC	39
ENSG00000160201	U2AF1	TCGA-PRAD	39
ENSG00000152207	CYSLTR2	TCGA-UVM	39
ENSG00000146648	EGFR	TCGA-LGG	39
ENSG00000139687	RB1	TCGA-UCEC	39
ENSG00000128513	POT1	TCGA-UCEC	39
ENSG00000107779	BMPR1A	TCGA-COAD	39
ENSG00000083857	FAT1	TCGA-OV	39
ENSG00000077782	FGFR1	TCGA-BLCA	39
ENSG00000065559	MAP2K4	TCGA-COAD	39
ENSG00000036257	CUL3	TCGA-KIRP	39
ENSG00000198795	ZNF521	TCGA-LUSC	38
ENSG00000198793	MTOR	TCGA-SARC	38
ENSG00000179295	PTPN11	TCGA-COAD	38
ENSG00000175387	SMAD2	TCGA-COAD	38
ENSG00000173821	RNF213	TCGA-UCEC	38
ENSG00000173821	RNF213	TCGA-BLCA	38
ENSG00000173674	EIF1AX	TCGA-PRAD	38
ENSG00000173575	CHD2	TCGA-BLCA	38
ENSG00000171862	PTEN	TCGA-HNSC	38
ENSG00000169032	MAP2K1	TCGA-COAD	38
ENSG00000168702	LRP1B	TCGA-PRAD	38
ENSG00000162613	FUBP1	TCGA-LGG	38
ENSG00000141510	TP53	TCGA-COAD	38
ENSG00000119772	DNMT3A	TCGA-LGG	38
ENSG00000115760	BIRC6	TCGA-HNSC	38
ENSG00000104408	EIF3E	TCGA-COAD	38
ENSG00000100345	MYH9	TCGA-COAD	38
ENSG00000055609	KMT2C	TCGA-OV	38
ENSG00000044524	EPHA3	TCGA-COAD	38
ENSG00000198053	SIRPA	TCGA-CESC	37
ENSG00000196712	NF1	TCGA-THCA	37
ENSG00000174775	HRAS	TCGA-PCPG	37
ENSG00000166710	B2M	TCGA-CESC	37
ENSG00000165671	NSD1	TCGA-STAD	37
ENSG00000165323	FAT3	TCGA-COAD	37
ENSG00000157404	KIT	TCGA-SARC	37
ENSG00000149311	ATM	TCGA-UCEC	37
ENSG00000148400	NOTCH1	TCGA-LGG	37
ENSG00000147724	FAM135B	TCGA-LUSC	37
ENSG00000144554	FANCD2	TCGA-COAD	37
ENSG00000141510	TP53	TCGA-LIHC	37
ENSG00000138336	TET1	TCGA-STAD	37
ENSG00000136014	USP44	TCGA-UCEC	37
ENSG00000133703	KRAS	TCGA-COAD	37
ENSG00000130940	CASZ1	TCGA-PRAD	37
ENSG00000127870	RNF6	TCGA-COAD	37
ENSG00000116016	EPAS1	TCGA-PCPG	37
ENSG00000080824	HSP90AA1	TCGA-THCA	37
ENSG00000012048	BRCA1	TCGA-OV	37
ENSG00000237649	KIFC1	TCGA-UCEC	36
ENSG00000206503	HLA-A	TCGA-CESC	36
ENSG00000175054	ATR	TCGA-UCEC	36
ENSG00000173821	RNF213	TCGA-PRAD	36
ENSG00000167548	KMT2D	TCGA-CESC	36
ENSG00000167258	CDK12	TCGA-OV	36
ENSG00000145715	RASA1	TCGA-HNSC	36
ENSG00000145675	PIK3R1	TCGA-SARC	36
ENSG00000100697	DICER1	TCGA-COAD	36
ENSG00000095015	MAP3K1	TCGA-UCEC	36
ENSG00000083857	FAT1	TCGA-UVM	36
ENSG00000046889	PREX2	TCGA-BLCA	36
ENSG00000027697	IFNGR1	TCGA-CESC	36
ENSG00000005339	CREBBP	TCGA-BLCA	36
ENSG00000257923	CUX1	TCGA-UCEC	35
ENSG00000213281	NRAS	TCGA-OV	35
ENSG00000178568	ERBB4	TCGA-BLCA	35
ENSG00000173575	CHD2	TCGA-SARC	35
ENSG00000168702	LRP1B	TCGA-UVM	35
ENSG00000167548	KMT2D	TCGA-PRAD	35
ENSG00000161547	SRSF2	TCGA-CESC	35
ENSG00000142208	AKT1	TCGA-UCEC	35
ENSG00000139687	RB1	TCGA-SARC	35
ENSG00000130779	CLIP1	TCGA-STAD	35
ENSG00000117713	ARID1A	TCGA-STAD	35
ENSG00000116044	NFE2L2	TCGA-UCEC	35
ENSG00000085224	ATRX	TCGA-SARC	35
