GeneID	Gene name	TCGA cohort	p-value	p-value (corrected)
ENSG00000170703	TTLL6	TCGA-THYM	1.64413429176859E-32	8.98974815650355E-27
ENSG00000182601	HS3ST4	TCGA-THYM	3.60539229853154E-25	1.97134558481418E-19
ENSG00000206560	ANKRD28	TCGA-THYM	1.46554948914067E-66	8.01328753023865E-61
ENSG00000174989	FBXW8	TCGA-THYM	2.47954347156724E-51	1.35575734075312E-45
ENSG00000213809	KLRK1	TCGA-THYM	7.11556230424841E-104	3.89062581003003E-98
ENSG00000085491	SLC25A24	TCGA-THYM	9.18042442710792E-90	5.01964492698079E-84
ENSG00000130741	EIF2S3	TCGA-THYM	2.78042707672937E-53	1.52027357573285E-47
ENSG00000144331	ZNF385B	TCGA-THYM	7.87684012608291E-77	4.30687501361924E-71
ENSG00000072958	AP1M1	TCGA-LIHC	7.93776431840308E-08	0.04340186960723480
ENSG00000103550	KNOP1	TCGA-THYM	8.84770997874417E-16	4.8377243190478E-10
ENSG00000172318	B3GALT1	TCGA-THYM	3.26864843192375E-61	1.78722178366197E-55
ENSG00000071082	RPL31	TCGA-THYM	1.1391203674696E-26	6.22844817163924E-21
ENSG00000133985	TTC9	TCGA-THYM	1.55549984299393E-21	8.5051153765269E-16
ENSG00000176945	MUC20	TCGA-THYM	3.03333984908349E-56	1.65856046266232E-50
ENSG00000154102	C16orf74	TCGA-THYM	1.44925477080368E-75	7.92419175815726E-70
ENSG00000115548	KDM3A	TCGA-THYM	6.65845807586445E-17	3.64069173134693E-11
ENSG00000164176	EDIL3	TCGA-THYM	2.29292769278335E-55	1.253720125077E-49
ENSG00000114988	LMAN2L	TCGA-THYM	2.3913407787381E-32	1.30753013697608E-26
ENSG00000167720	SRR	TCGA-THYM	3.44524903468686E-52	1.88378293143898E-46
ENSG00000139344	AMDHD1	TCGA-THYM	1.932602635811E-64	1.05670267140083E-58
ENSG00000184163	FAM132A	TCGA-THYM	6.09369075075232E-41	3.3318899476241E-35
ENSG00000152467	ZSCAN1	TCGA-THYM	3.43018857034674E-111	1.87554821592848E-105
ENSG00000050165	DKK 3.00	TCGA-THYM	1.06960589895289E-75	5.84835904611765E-70
ENSG00000153250	RBMS1	TCGA-THYM	7.3425789083857E-84	4.01475326779041E-78
ENSG00000166619	BLCAP	TCGA-THYM	8.51120186222938E-27	4.65372942062419E-21
ENSG00000138381	ASNSD1	TCGA-THYM	3.44035570336135E-38	1.88110737041681E-32
ENSG00000185885	IFITM1	TCGA-THYM	1.26545781821721E-59	6.91923229471354E-54
ENSG00000148356	LRSAM1	TCGA-THYM	1.45606233982772E-55	7.96141397983982E-50
ENSG00000163106	HPGDS	TCGA-THYM	1.65551462551054E-74	9.05197320392778E-69
ENSG00000171303	KCNK3	TCGA-THYM	1.12903352835371E-58	6.17329565532656E-53
ENSG00000198574	SH2D1B	TCGA-THYM	6.13523340317666E-68	3.35460451448873E-62
ENSG00000133640	LRRIQ1	TCGA-THYM	6.86218278779331E-64	3.75208371816126E-58
ENSG00000114209	PDCD10	TCGA-THYM	2.41447504794852E-44	1.32017942329215E-38
ENSG00000101003	GINS1	TCGA-THYM	3.59212596559879E-54	1.96409185909221E-48
ENSG00000254535	PABPC4L	TCGA-THYM	5.06082519249548E-74	2.7671428162771E-68
ENSG00000152455	SUV39H2	TCGA-THYM	9.34912818711466E-44	5.11188826276599E-38
ENSG00000131043	AAR2	TCGA-THYM	1.1834749475416E-40	6.47096881391954E-35
ENSG00000164609	SLU7	TCGA-THYM	3.01358141135097E-35	1.64775700335425E-29
ENSG00000127129	EDN2	TCGA-THYM	3.11029428448048E-120	1.70063737798539E-114
ENSG00000147650	LRP12	TCGA-THYM	2.88223394812819E-27	1.57593923145569E-21
ENSG00000204889	KRT40	TCGA-THYM	2.5860425304729E-48	1.41398857668438E-42
ENSG00000131379	C3orf20	TCGA-THYM	1.32025013199081E-70	7.21882406419537E-65
ENSG00000116983	HPCAL4	TCGA-THYM	5.45529577668154E-34	2.9828302588866E-28
ENSG00000186063	AIDA	TCGA-THYM	3.09366112930851E-18	1.69154275129992E-12
ENSG00000196365	LONP1	TCGA-THYM	3.84145947250751E-28	2.10042168599924E-22
ENSG00000038002	AGA	TCGA-THYM	8.14166546064893E-77	4.45167541557724E-71
ENSG00000113971	NPHP3	TCGA-THYM	1.30474475746741E-52	7.13404424253758E-47
ENSG00000117697	NSL1	TCGA-THYM	3.60627759467318E-76	1.97182964438262E-70
ENSG00000152953	STK32B	TCGA-THYM	2.01107869660744E-53	1.09961157649493E-47
ENSG00000139908	TSSK4	TCGA-THYM	4.020420005733E-63	2.19827318947467E-57
ENSG00000176281	OR4K5	TCGA-THYM	1.13121759950757E-90	6.1852376540595E-85
ENSG00000123191	ATP7B	TCGA-SKCM	1.48206653003295E-09	8.10359891091824E-04
ENSG00000159337	PLA2G4D	TCGA-THYM	1.59908257377767E-70	8.74341572442434E-65
ENSG00000182481	KPNA2	TCGA-THYM	4.35047886457728E-57	2.37874178213697E-51
ENSG00000142408	CACNG8	TCGA-THYM	5.83885453283021E-28	3.1925513648973E-22
ENSG00000106268	NUDT1	TCGA-THYM	5.51548676615363E-54	3.01574130753718E-48
ENSG00000078808	SDF4	TCGA-THYM	1.14214616451163E-40	6.24499253393175E-35
ENSG00000166847	DCTN5	TCGA-THYM	6.11968273738065E-40	3.34610176809678E-34
ENSG00000100918	REC8	TCGA-THYM	2.15460752703497E-70	1.1780898398096E-64
ENSG00000103769	RAB11A	TCGA-THYM	1.16924628635688E-15	6.39316976715354E-10
ENSG00000105619	TFPT	TCGA-THYM	3.18927267135266E-78	1.74382094342419E-72
ENSG00000165821	SALL2	TCGA-THYM	7.01768500840667E-72	3.83710875584157E-66
ENSG00000203784	LELP1	TCGA-THYM	3.46237617789075E-15	1.89314765941857E-09
ENSG00000198934	MAGEE1	TCGA-THYM	1.07600794119033E-60	5.88336394060223E-55
ENSG00000185591	SP1	TCGA-THYM	2.64083135520457E-74	1.44394584590469E-68
ENSG00000175928	LRRN1	TCGA-THYM	5.67239571058453E-35	3.10153550944628E-29
ENSG00000234444	ZNF736	TCGA-THYM	1.04004079202695E-115	5.68670384142118E-110
ENSG00000179532	DNHD1	TCGA-THYM	3.49907591517544E-60	1.91321423167188E-54
ENSG00000182263	FIGN	TCGA-THYM	4.7530232177482E-19	2.59884377593071E-13
ENSG00000175602	CCDC85B	TCGA-THYM	4.72509710838412E-19	2.58357442163095E-13
ENSG00000164323	KIAA1430	TCGA-THYM	3.5761469837128E-75	1.95535491931354E-69
ENSG00000165494	PCF11	TCGA-THYM	1.54008456391765E-93	8.42082817605203E-88
ENSG00000163586	FABP1	TCGA-THYM	1.03738253333257E-116	5.67216909427981E-111
ENSG00000114251	WNT5A	TCGA-THYM	4.11302194588302E-52	2.24890580050408E-46
ENSG00000197380	DACT3	TCGA-THYM	7.28742789303542E-70	3.98459796107023E-64
ENSG00000093217	XYLB	TCGA-THYM	1.30461766340715E-60	7.13334932144772E-55
ENSG00000032219	ARID4A	TCGA-THYM	3.63451063722995E-21	1.98726682269268E-15
ENSG00000111962	UST	TCGA-THYM	8.86580198479481E-39	4.84761661184015E-33
ENSG00000150782	IL18	TCGA-THYM	7.93306904238167E-69	4.33761969178632E-63
ENSG00000074266	EED	TCGA-THYM	3.87020833252497E-48	2.11614090143301E-42
ENSG00000189013	KIR2DL4	TCGA-THYM	5.42882759040052E-64	2.96835806339642E-58
ENSG00000176401	EID2B	TCGA-THYM	1.61361099468003E-67	8.82285378838163E-62
ENSG00000141837	CACNA1A	TCGA-THYM	1.9105818509389E-30	1.04466221271082E-24
ENSG00000260836	RP11-152F13.10	TCGA-THYM	3.48827881300227E-91	1.90731062453694E-85
ENSG00000091972	CD200	TCGA-THYM	2.78889335849428E-91	1.52490274387743E-85
ENSG00000179163	FUCA1	TCGA-THYM	5.88981521976485E-08	0.03220415496417360
ENSG00000087074	PPP1R15A	TCGA-THYM	1.91493742298894E-68	1.04704373932962E-62
ENSG00000198930	CSAG1	TCGA-THYM	1.53254560751269E-24	8.37960689638965E-19
ENSG00000065717	TLE2	TCGA-THYM	3.26528767877168E-56	1.78538420113574E-50
ENSG00000159263	SIM2	TCGA-THYM	8.82370695061618E-67	4.82460001533707E-61
ENSG00000163719	MTMR14	TCGA-THYM	4.58972458875982E-22	2.50955584146833E-16
ENSG00000154438	ASZ1	TCGA-THYM	4.03438956943508E-76	2.20591142560701E-70
ENSG00000117625	RCOR3	TCGA-THYM	3.3305142042024E-59	1.82104856503118E-53
ENSG00000147256	ARHGAP36	TCGA-THYM	4.71398802655755E-08	0.025775002311970600
ENSG00000254469	RP11-849H4.2	TCGA-THYM	9.28736600573482E-54	5.07811812251767E-48
ENSG00000176239	OR51B6	TCGA-THYM	2.02349204369476E-77	1.10639890917529E-71
ENSG00000221829	FANCG	TCGA-THYM	9.42578488086089E-56	5.15380237980247E-50
ENSG00000100324	TAB1	TCGA-THYM	1.32252666444228E-72	7.23127162003759E-67
ENSG00000161791	FMNL3	TCGA-THYM	8.03104388193205E-09	0.004391190080631160
ENSG00000182621	PLCB1	TCGA-THYM	1.23468492094035E-26	6.75097317017002E-21
ENSG00000132481	TRIM47	TCGA-THYM	1.81750908629486E-55	9.93772165677047E-50
ENSG00000106290	TAF6	TCGA-THYM	4.90414607596721E-47	2.68147427897912E-41
ENSG00000142871	CYR61	TCGA-THYM	7.92331558959759E-134	4.3322867281334E-128
ENSG00000167037	SGSM1	TCGA-THYM	2.1323513644672E-25	1.16592068200928E-19
ENSG00000196505	GDAP2	TCGA-THYM	7.5576378814514E-31	4.13234256790635E-25
ENSG00000221995	TIAF1	TCGA-THYM	5.46138300011682E-65	2.98615861265488E-59
ENSG00000136040	PLXNC1	TCGA-THYM	5.89762851535383E-36	3.22468762673962E-30
ENSG00000131899	LLGL1	TCGA-THYM	1.14496982417555E-09	6.26043165553233E-04
ENSG00000072401	UBE2D1	TCGA-THYM	7.23147934946892E-76	3.95400658426457E-70
ENSG00000102313	ITIH6	TCGA-THYM	4.00421322939774E-20	2.18941169693041E-14
ENSG00000185088	RPS27L	TCGA-THYM	5.39130356371563E-12	2.94784078865774E-06
ENSG00000043462	LCP2	TCGA-THYM	4.64558870548213E-77	2.5401010556174E-71
ENSG00000112062	MAPK14	TCGA-THYM	2.17763853449704E-13	1.19068266497669E-07
ENSG00000172239	PAIP1	TCGA-THYM	5.64690972403182E-17	3.08760035817695E-11
ENSG00000244623	OR2AE1	TCGA-THYM	2.68036171866862E-66	1.46556013944847E-60
ENSG00000122786	CALD1	TCGA-THYM	1.35665979047063E-75	7.41790370254159E-70
ENSG00000126464	PRR12	TCGA-THYM	1.47390452400229E-30	8.05897093920398E-25
ENSG00000167535	CACNB3	TCGA-THYM	2.01609655233686E-61	1.10235522459709E-55
ENSG00000138347	MYPN	TCGA-THYM	9.80097784209079E-45	5.35894926156487E-39
ENSG00000154553	PDLIM3	TCGA-THYM	8.58808646486104E-33	4.69576815299732E-27
ENSG00000144867	SRPRB	TCGA-THYM	1.49837351684793E-32	8.19276176421559E-27
ENSG00000184838	PRR16	TCGA-THYM	2.56462548737845E-66	1.40227823011232E-60
ENSG00000116885	OSCP1	TCGA-THYM	3.60896998738209E-38	1.97330178279082E-32
ENSG00000076554	TPD52	TCGA-THYM	5.32420710411111E-24	2.91115398776456E-18
ENSG00000213722	DDAH2	TCGA-THYM	2.31167465271186E-21	1.26397053158583E-15
ENSG00000163646	CLRN1	TCGA-PRAD	6.82953332621817E-08	0.037342317435095900
ENSG00000151702	FLI1	TCGA-THYM	3.87536082185988E-47	2.11895816409408E-41
ENSG00000162337	LRP5	TCGA-THYM	6.06668020245164E-107	3.3171212010559E-101
ENSG00000088726	TMEM40	TCGA-THYM	1.17834245325265E-54	6.44290551562126E-49
ENSG00000101004	NINL	TCGA-THYM	2.51095809075439E-09	0.001372934131988410
ENSG00000183423	LRIT3	TCGA-THYM	5.04005709612892E-29	2.75578729885008E-23
ENSG00000184698	OR51M1	TCGA-THYM	2.07321913943694E-08	0.011335885414039100
ENSG00000198093	ZNF649	TCGA-THYM	8.8608322444802E-34	4.84489927214015E-28
ENSG00000120889	TNFRSF10B	TCGA-THYM	1.28656085547305E-13	7.03461884872985E-08
ENSG00000111885	MAN1A1	TCGA-THYM	8.05181194099177E-47	4.40254557765966E-41
ENSG00000184110	EIF3C	TCGA-THYM	3.15389996416732E-10	1.72447996070751E-04
ENSG00000077348	EXOSC5	TCGA-THYM	7.41173811305341E-40	4.052567930241E-34
ENSG00000070610	GBA2	TCGA-THYM	1.01831999310831E-64	5.56793950871782E-59
ENSG00000165887	ANKRD2	TCGA-THYM	7.95002366690985E-71	4.34689009052197E-65
ENSG00000175619	OR4B1	TCGA-THYM	3.44650195365755E-72	1.88446799871502E-66
ENSG00000099960	SLC7A4	TCGA-THYM	1.04017006765006E-110	5.68741069079498E-105
ENSG00000101464	PIGU	TCGA-THYM	1.51000074319073E-119	8.256336763596E-114
ENSG00000131504	DIAPH1	TCGA-THYM	1.92352658082915E-66	1.05174009328602E-60
ENSG00000135063	FAM189A2	TCGA-THYM	1.28772548567225E-70	7.04098677879414E-65
ENSG00000196968	FUT11	TCGA-THYM	2.7788282112122E-63	1.51939935284198E-57
ENSG00000168811	IL12A	TCGA-THYM	8.61164391012079E-12	4.70864882224411E-06
ENSG00000151014	CCRN4L	TCGA-THYM	9.32767171057244E-29	5.10015635489167E-23
ENSG00000158773	USF1	TCGA-THYM	1.52389432528073E-46	8.33230367494023E-41
ENSG00000171490	RSL1D1	TCGA-THYM	1.11881351680936E-15	6.11741498280472E-10
ENSG00000166402	TUB	TCGA-THYM	3.36718148243266E-71	1.84109738942008E-65
ENSG00000196659	TTC30B	TCGA-THYM	1.18227516698071E-57	6.46440868976212E-52
ENSG00000114948	ADAM23	TCGA-THYM	3.14196693833921E-72	1.7179552566443E-66
ENSG00000143977	SNRPG	TCGA-THYM	8.93000085396065E-33	4.88271907692604E-27
ENSG00000146904	EPHA1	TCGA-THYM	3.14145084547509E-19	1.71767306893634E-13
ENSG00000142405	NLRP12	TCGA-THYM	1.5456695348597E-64	8.4513655126198E-59
ENSG00000100124	ANKRD54	TCGA-THYM	6.8829424380205E-60	3.76343461743353E-54
ENSG00000178445	GLDC	TCGA-THYM	1.06211480849541E-39	5.80739948644693E-34
ENSG00000169484	OR4K14	TCGA-KIRP	2.80546885911603E-08	0.015339658463808900
ENSG00000184343	SRPK3	TCGA-THYM	5.20020282857199E-76	2.84335130199811E-70
ENSG00000156304	SCAF4	TCGA-THYM	1.67039381705694E-59	9.13332920108945E-54
ENSG00000155858	LSM 11.00	TCGA-THYM	9.14031864005595E-09	0.004997716005053870
ENSG00000140992	PDPK1	TCGA-THYM	3.67587354916797E-24	2.00988311159341E-18
ENSG00000118369	USP35	TCGA-THYM	1.9418660208085E-57	1.06176767725961E-51
ENSG00000003509	NDUFAF7	TCGA-THYM	2.94025476558958E-38	1.60766367996477E-32
ENSG00000170374	SP7	TCGA-THYM	3.3315195000747E-09	0.0018215982376923400
ENSG00000164695	CHMP4C	TCGA-THYM	9.23937085804312E-19	5.05187547964824E-13
ENSG00000177191	B3GNT8	TCGA-THYM	1.17049713299938E-58	6.40000910890002E-53
ENSG00000187808	SOWAHD	TCGA-THYM	2.73454335383497E-77	1.49518541137982E-71
ENSG00000244045	TMEM199	TCGA-THYM	5.20371863390117E-13	2.84527366348858E-07
ENSG00000131446	MGAT1	TCGA-THYM	2.29949722779859E-63	1.25731219572403E-57
ENSG00000164252	AGGF1	TCGA-THYM	1.42547093164932E-19	7.79414719594422E-14
ENSG00000153832	FBXO36	TCGA-THYM	9.0089004587428E-115	4.92585956613001E-109
ENSG00000123689	G0S2	TCGA-THYM	9.14374790527015E-89	4.9995910483999E-83
ENSG00000124193	SRSF6	TCGA-THYM	4.42756789508314E-35	2.42089229096988E-29
ENSG00000120662	MTRF1	TCGA-THYM	2.46748077647548E-73	1.34916173651893E-67
ENSG00000226742	HSBP1L1	TCGA-THYM	1.54096256981346E-79	8.42562891034892E-74
ENSG00000110076	NRXN2	TCGA-THYM	4.46263321666989E-12	2.44006520231111E-06
ENSG00000174276	ZNHIT2	TCGA-THYM	5.3776034755203E-93	2.94034989553456E-87
ENSG00000120156	TEK	TCGA-THYM	7.12416122893464E-36	3.8953275042732E-30
ENSG00000060558	GNA15	TCGA-THYM	6.47600149850733E-69	3.54092867134934E-63
ENSG00000103540	CCP110	TCGA-THYM	1.15943395141212E-10	6.33951817651262E-05
ENSG00000146910	CNPY1	TCGA-THYM	9.18449415358345E-42	5.0218701598139E-36
ENSG00000089737	DDX24	TCGA-ESCA	5.61663552735673E-08	0.030710471237415300
ENSG00000179178	TMEM125	TCGA-THYM	1.45929484013719E-51	7.97908854805692E-46
ENSG00000156239	N6AMT1	TCGA-THYM	2.03620986355216E-45	1.11335272056346E-39
ENSG00000185122	HSF1	TCGA-THYM	7.01593663861852E-46	3.83615278745392E-40
ENSG00000177938	CAPZA3	TCGA-CESC	1.35797568029745E-10	7.42509868545998E-05
ENSG00000223501	VPS52	TCGA-THYM	3.46304681989582E-35	1.89351435104217E-29
ENSG00000087077	TRIP6	TCGA-THYM	1.17159082759646E-38	6.40598917940709E-33
ENSG00000137404	NRM	TCGA-THYM	9.41103041417377E-117	5.14573497677069E-111
ENSG00000128789	PSMG2	TCGA-THYM	7.76388844169564E-26	4.24511563048502E-20
ENSG00000114279	FGF12	TCGA-THYM	3.3857808091765E-77	1.8512670734991E-71
ENSG00000177363	LRRN4CL	TCGA-THYM	4.24800271341596E-75	2.32271017963344E-69
ENSG00000084774	CAD	TCGA-THYM	1.25016141492537E-65	6.83559507968651E-60
ENSG00000109084	TMEM97	TCGA-THYM	1.25821338724047E-09	6.8796214123518E-04
ENSG00000134640	MTNR1B	TCGA-THYM	2.31133704375982E-70	1.26378593477586E-64
ENSG00000185559	DLK1	TCGA-THYM	8.15876662879395E-53	4.46102594099207E-47
ENSG00000120896	SORBS3	TCGA-ESCA	2.06880962293238E-08	0.011311775191981
ENSG00000105383	CD33	TCGA-THYM	6.17816157424123E-16	3.3780766510789E-10
ENSG00000239857	GET4	TCGA-THYM	1.26370009824573E-59	6.90962148618507E-54
ENSG00000168925	CTRB1	TCGA-THYM	6.82834817382594E-71	3.73358372944003E-65
ENSG00000105697	HAMP	TCGA-THYM	1.42374859950962E-50	7.78472987994073E-45
ENSG00000162599	NFIA	TCGA-THYM	6.11474792325808E-11	3.34340352523528E-05
ENSG00000069011	PITX1	TCGA-THYM	2.01991291214197E-52	1.10444192236225E-46
ENSG00000248144	ADH1C	TCGA-COAD	1.85160045676628E-08	0.010124125429492900
ENSG00000100228	RAB36	TCGA-THYM	6.14363309318859E-59	3.35919727179438E-53
ENSG00000112494	UNC93A	TCGA-THYM	2.33721211682853E-58	1.27793382960315E-52
ENSG00000151532	VTI1A	TCGA-THYM	4.13809069372121E-11	2.2626128152408E-05
ENSG00000124459	ZNF45	TCGA-THYM	1.56186360723261E-58	8.53991097571824E-53
ENSG00000178188	SH2B1	TCGA-THYM	6.94411195736962E-33	3.79688070371469E-27
ENSG00000175793	SFN	TCGA-THYM	8.5705467333386E-76	4.68617783121468E-70
ENSG00000004799	PDK4	TCGA-THYM	2.13233466716327E-50	1.16591155230753E-44
ENSG00000126016	AMOT	TCGA-THYM	7.01138758111523E-53	3.83366546743944E-47
ENSG00000122970	IFT81	TCGA-THYM	2.42251558566867E-72	1.32457580438516E-66
ENSG00000117174	ZNHIT6	TCGA-THYM	1.10031215646536E-45	6.01625379975662E-40
ENSG00000126351	THRA	TCGA-THYM	1.19517399032686E-12	6.53493648908949E-07
ENSG00000130377	ACSBG2	TCGA-THYM	6.80767579106842E-64	3.72228054601302E-58
ENSG00000115568	ZNF142	TCGA-THYM	1.32877739706841E-64	7.26544918836873E-59
ENSG00000085274	MYNN	TCGA-THYM	2.49144579973894E-103	1.36226526004386E-97
ENSG00000174032	SLC25A30	TCGA-THYM	2.08411793358112E-66	1.13954775136968E-60
ENSG00000121769	FABP3	TCGA-THYM	1.35722530196936E-57	7.42099578934899E-52
ENSG00000197461	PDGFA	TCGA-THYM	8.0476132698451E-54	4.4002498408461E-48
ENSG00000157350	ST3GAL2	TCGA-THYM	1.53327598345371E-62	8.38360042404872E-57
ENSG00000089248	ERP29	TCGA-THYM	2.00737099312977E-59	1.09758428951052E-53
ENSG00000164291	ARSK	TCGA-THYM	1.11701031120533E-106	6.10755546929919E-101
ENSG00000117399	CDC20	TCGA-THYM	3.84972839442778E-57	2.10494294232004E-51
ENSG00000187522	HSPA14	TCGA-THYM	6.31248205571771E-23	3.45152000097916E-17
ENSG00000149089	APIP	TCGA-THYM	4.58999877402551E-11	2.50970575966535E-05
ENSG00000165325	CCDC67	TCGA-THYM	3.94934316569564E-44	2.15941000810957E-38
ENSG00000141644	MBD1	TCGA-THYM	4.69026690125342E-42	2.56453006546664E-36
ENSG00000077935	SMC1B	TCGA-THYM	1.450582832482E-14	7.93145329396009E-09
ENSG00000146233	CYP39A1	TCGA-THYM	2.37080529020308E-100	1.29630180416137E-94
ENSG00000102021	LUZP4	TCGA-THYM	3.37581945534969E-33	1.84582043433774E-27
ENSG00000102100	SLC35A2	TCGA-THYM	4.30244437138719E-78	2.35247762605397E-72
ENSG00000132463	GRSF1	TCGA-THYM	2.07433935180817E-59	1.13420104776361E-53
ENSG00000109814	UGDH	TCGA-THYM	1.68767996518929E-11	9.22784588326306E-06
ENSG00000171054	OR13H1	TCGA-THYM	3.28112478407366E-43	1.79404356606144E-37
ENSG00000112343	TRIM38	TCGA-THYM	1.9925813284122E-45	1.08949764100524E-39
ENSG00000172500	FIBP	TCGA-THYM	2.46349315505037E-79	1.34698139683898E-73
ENSG00000181499	OR6T1	TCGA-THYM	2.79445815340774E-15	1.52794544574582E-09
ENSG00000115204	MPV17	TCGA-THYM	2.47914707157667E-50	1.35554059835548E-44
ENSG00000100558	PLEK2	TCGA-THYM	2.75792207202704E-68	1.50796835677673E-62
ENSG00000101938	CHRDL1	TCGA-THYM	1.00386337305501E-54	5.488894035289E-49
ENSG00000115539	PDCL3	TCGA-THYM	2.65862263183953E-57	1.45367370676932E-51
ENSG00000129484	PARP2	TCGA-THYM	2.13504874609091E-133	1.16739554824135E-127
ENSG00000154146	NRGN	TCGA-THYM	2.04096867964498E-36	1.11595473175024E-30
ENSG00000166889	PATL1	TCGA-THYM	3.78391300383107E-48	2.06895660049574E-42
ENSG00000146109	ABT1	TCGA-THYM	5.65340604847379E-65	3.09115239896635E-59
ENSG00000007384	RHBDF1	TCGA-THYM	9.70000930435911E-112	5.30374198740956E-106
ENSG00000260903	XKR7	TCGA-THYM	4.81770095598892E-61	2.63420807561275E-55
ENSG00000151650	VENTX	TCGA-THYM	4.30325608518111E-31	2.35292145248707E-25
ENSG00000083097	DOPEY1	TCGA-THYM	1.65336879436781E-21	9.04024029278051E-16
ENSG00000186994	KANK3	TCGA-THYM	3.98487234962622E-60	2.17883654871158E-54
ENSG00000164574	GALNT10	TCGA-THYM	2.91152277671745E-27	1.59195368928524E-21
ENSG00000114796	KLHL24	TCGA-THYM	9.88763291832002E-11	5.40633026418026E-05
ENSG00000144045	DQX1	TCGA-THYM	8.30869414008618E-69	4.5430028558339E-63
ENSG00000135409	AMHR2	TCGA-THYM	9.85848110279227E-21	5.39039072194145E-15
ENSG00000176978	DPP7	TCGA-THYM	3.71408803190555E-117	2.03077791182122E-111
ENSG00000124493	GRM4	TCGA-THYM	3.19367749873207E-55	1.74622940172423E-49
ENSG00000104129	DNAJC17	TCGA-THYM	3.08149369899209E-77	1.6848898802538E-71
ENSG00000172425	TTC36	TCGA-THYM	3.18469906595673E-111	1.74132020118662E-105
ENSG00000111196	MAGOHB	TCGA-THYM	3.15214143991608E-69	1.72351844009299E-63
ENSG00000181856	SLC2A4	TCGA-THYM	3.2872683875551E-65	1.79740274714221E-59
ENSG00000162576	MXRA8	TCGA-THYM	1.65898537800067E-76	9.07095048027074E-71
ENSG00000180660	MAB21L1	TCGA-THYM	5.01903453044825E-120	2.7442926434549E-114
ENSG00000121621	KIF18A	TCGA-THYM	4.41371409540682E-84	2.41331735194426E-78
ENSG00000138376	BARD1	TCGA-THYM	1.3112654677239E-68	7.1696979864567E-63
ENSG00000148136	OR13C4	TCGA-THYM	3.11291334630746E-25	1.70206942075396E-19
ENSG00000136108	CKAP2	TCGA-THYM	7.21212823351239E-11	3.9434258391352E-05
ENSG00000121931	LRIF1	TCGA-THYM	1.01242351241471E-26	5.53569890847578E-21
ENSG00000106245	BUD31	TCGA-THYM	9.74615435851537E-64	5.32897304168596E-58
ENSG00000167751	KLK2	TCGA-THYM	5.16952672521641E-29	2.82657831423365E-23
ENSG00000145020	AMT	TCGA-THYM	7.85479727130227E-58	4.29482248761084E-52
ENSG00000111206	FOXM1	TCGA-THYM	6.94677444956346E-74	3.79833649320896E-68
ENSG00000171634	BPTF	TCGA-THYM	2.32151400252664E-83	1.26935046175951E-77
ENSG00000197497	ZNF665	TCGA-THYM	1.75475508819873E-33	9.59459722860039E-28
ENSG00000112599	GUCA1B	TCGA-THYM	6.46266967782719E-57	3.53363913843332E-51
ENSG00000178031	ADAMTSL1	TCGA-THYM	3.02449188806379E-25	1.65372260107985E-19
ENSG00000218819	TDRD15	TCGA-KIRP	2.19408645345961E-08	0.011996760087632900
ENSG00000218819	TDRD15	TCGA-THYM	1.6176528967166E-61	8.84495397908012E-56
ENSG00000239839	DEFA3	TCGA-THYM	7.75897051280559E-10	4.2424266200803E-04
ENSG00000023734	STRAP	TCGA-THYM	2.06933877507616E-60	1.13146684741982E-54
ENSG00000100813	ACIN1	TCGA-THYM	5.47649118199654E-61	2.99441941901852E-55
ENSG00000166225	FRS2	TCGA-THYM	7.3335710642952E-42	4.00982798582214E-36
ENSG00000182333	LIPF	TCGA-THYM	1.11365427614837E-14	6.08920544149576E-09
ENSG00000135902	CHRND	TCGA-THYM	8.73464338889519E-66	4.77590210824994E-60
ENSG00000119865	CNRIP1	TCGA-THYM	2.0684391142346E-46	1.13097493356385E-40
ENSG00000106723	SPIN1	TCGA-THYM	1.25138957640112E-17	6.84231038415873E-12
ENSG00000001617	SEMA3F	TCGA-THYM	5.33080884148701E-76	2.91476366592174E-70
ENSG00000102003	SYP	TCGA-THYM	1.27161931393465E-79	6.95292193615246E-74
ENSG00000119314	PTBP3	TCGA-THYM	1.83253153470189E-24	1.00198609494969E-18
ENSG00000095627	TDRD1	TCGA-THYM	1.35360057851699E-53	7.40117663519786E-48
ENSG00000147894	C9orf72	TCGA-THYM	4.90706062206139E-41	2.68306788574886E-35
ENSG00000112695	COX7A2	TCGA-THYM	1.11832180575822E-11	6.11472641987061E-06
ENSG00000101162	TUBB1	TCGA-THYM	5.07959058432371E-17	2.77740330092476E-11
ENSG00000162419	GMEB1	TCGA-THYM	6.58647077139545E-33	3.60133072897129E-27
ENSG00000106633	GCK	TCGA-COAD	3.04951299037391E-09	0.0016674035643376700
ENSG00000170854	MINA	TCGA-THYM	9.77469198289001E-68	5.34457675832865E-62
ENSG00000038210	PI4K2B	TCGA-THYM	1.87940651648967E-80	1.02761625686667E-74
ENSG00000139218	SCAF11	TCGA-THYM	1.29768608875364E-54	7.09544906550448E-49
ENSG00000175768	TOMM5	TCGA-THYM	1.85190612275985E-68	1.01257967408426E-62
ENSG00000175857	GAPT	TCGA-THYM	1.70135662443655E-09	9.30262671039544E-04
ENSG00000101670	LIPG	TCGA-THYM	4.93920333418882E-73	2.70064278145776E-67
ENSG00000170571	EMB	TCGA-THYM	5.95142497075452E-67	3.25410229123424E-61
ENSG00000008952	SEC62	TCGA-THYM	9.21450887514966E-42	5.03828151922771E-36
